Kosttilskud,Evidens mængde,Kapsler / gram,Pris,Portion,Dagspris,Note
Proteinpulver,20,20,159,500,6.36,Proteinbehovet fra tilskud afhænger meget af den øvrige kost og din størrelse - regnet efter 20 g
Kreatin,3,3,119,400,0.8925,Stor evidens for at kreatin virker på muskelvækst og præstation i eksplosive bevægelser
Koffein,100,1,99,200,0.495,Koffein virker opkvikkende og hjælper på prætationen - regnet efter 100 mg
D-vitamin,62.5,1,179,200,0.895,Afhænger af hvor meget sol og fede fisk du spiser
Fiskeolie,,3,79,120,1.975,Der er ikke så meget evidens for fiskeolie
Probiotika,1,1,227.95,60,3.799166667,"Virker på tarmfloraen, men der er ikke så meget evidens i litteraturen"
