Sportsgren,Kategori,Form,Sted,Beskrivelse,Medlem2017,Medlem2018,Fans
Kitesurfing,Vandsport,Individuel,Udendørs,"vandsport, på lille sejlbræt og en styrbar drage, flere stilarter.",,,
Klatring,"Løb, fitness og styrke",Individuel,Begge,"idræt med flere stilarter, indendørs og udendørs",,,
Kunstskøjteløb,Vintersport og is,Individuel,Indendørs,"skøjteløb med koreografi, sport, med gymnastiske elementer",,,
Langrend,Vintersport og is,Individuel,Udendørs,"skisport, med langrendsski og stave, suveræn kredsløbstræning",,,
Løb,"Løb, fitness og styrke",Individuel,Udendørs,"sport og motion (# 1 i DK), mange discipliner, korte og lange distancer",,,
MMA,Kampsport og selvforsvar,Individuel,Indendørs,"kampsport og træning, Mixed Martial Arts, flere teknikker, ottekantet ring",,,
Mini-golf,Præcision og spil,Både hold og individuel,Begge,"idræt og motion, med kølle og bold, teknik og en vis udholdenhed",1,,
Motionsboksning,Kampsport og selvforsvar,Både hold og individuel,Indendørs,"motion, fysisk træning til boksning, oftest uden kamp/kontakt",,,
Motorsport,Friluft og motorsport,Individuel,Udendørs,"sport (ikke motionsform, men man skal være i form til motorsport)",,,
Orientering,"Løb, fitness og styrke",Individuel,Udendørs,"sport, løb og opgaveløsning",,,
Paragliding,Friluft og motorsport,Individuel,Udendørs,"idræt, man flyver med skærm (fx via opdrift ved skrænt)",,,
Parkour,"Løb, fitness og styrke",Individuel,Begge,"motion, freestyle idræt, med elementer fra gymnastik, løb m.m.",,,
Petangue,Præcision og spil,Både hold og individuel,Udendørs,"motion og idræt, spil med middeltung metalkugle (a la boules)",,,
Pole(dance),"Løb, fitness og styrke",Individuel,Indendørs,"motion, blanding af gymnastik og dans (som dans og motion)",,,
Polo,Bold- og ketchersport,Hold,Udendørs,"idræt med hest, hockeylignende spil til hest, for hold, med stab og bold.",,,
Qianball,Bold- og ketchersport,Både hold og individuel,Indendørs,"ketchersport med blanding af badminton, squash og tennis",,,
Ricochet,Bold- og ketchersport,Individuel,Indendørs,"ketchersport, der ligner squash, kort ketcher og bold af gummi",,,
Ridning,Friluft og motorsport,Individuel,Begge,"hestesport og motion, flere discipliner, udendørs og indendørs",,64384,
Roning,Vandsport,Både hold og individuel,Udendørs,"vandsport, mange forskellige klasser, en eller flere i båd",,,
Rope skipping,"Løb, fitness og styrke",Både hold og individuel,Indendørs,"sjip med tricks, et eller flere tove, individuelt og hold, gymnastik",,,
Rulleski løb,"Løb, fitness og styrke",Individuel,Udendørs,"ski motion, løb på rulleski på landevej; fx i skiklubber",,,
