,Gruppe,Navn,Svind,kJ,"kcal",Nitrogen-til-protein faktor,"Nitrogen, total","Protein","Protein, deklaration","Kulhydrat, difference ","Kulhydrat, tilgængelig","Kulhydrat",Sukker,Kostfibre,"Fedt",FCF,Alkohol,Aske,Tørstof,Vand,A-vitamin,Retinol,beta-caroten,D-vitamin,D3-vitamin,D2 ergocalciferol,25-hydroxy D3-vitamin,25-hydroxyergocalciferol,E-vitamin,alfa-tokoferol,gamma-tokoferol,delta-tokoferol,alfa-tokotrienol,K1-vitamin,B1-vitamin,thiamin,"B2-vitamin, riboflavin",Niacinækvivalent,Niacin,B6-vitamin,Pantothensyre,Biotin,Folat,Frit folat,B12-vitamin,C-vitamin,L-ascorbinsyre,L-dehydroascorbinsyre,"Svovl, S","Chlorid, Cl","Natrium, Na","Kalium, K","Calcium, Ca","Magnesium, Mg","Fosfor, P","Jern, Fe","Kobber, Cu","Zink, Zn","Jod, I","Mangan, Mn","Chrom, Cr","Selen, Se","Molybdæn, Mo","Cobolt, Co","Nikkel, Ni","Fluor, F","Silicium, Si","Rubidium, Rb","Aluminium, Al","Bor, B","Brom, Br","Kviksølv, Hg","Arsen, As",Arsen uorganisk,"Cadmium, Cd","Bly, Pb","Tin, Sn",L-mælkesyre,D-mælkesyre,"Mælkesyre, total",Citronsyre,Oxalsyre,Æblesyre,Benzoesyre,"Organiske syrer, tot.",Histamin,Tyramin,Phenylethylamin,Putrescin,Cadaverin,Spermin,Spermidin,Serotonin,Fruktose,Galaktose,Glukose,"Monosaccharider, total",Laktose,Maltose,Sakkarose,"Disaccharider, total",Raffinose,Andre sukkerarter,"Sukkerarter, ialt",Sorbitol,Inositol,Maltitol,"Sukkeralkoholer, total",Stivelse,IDF,SDFP,SDFS,Hexose,Pentose,Uronic Acid,Cellulose,Lignin,Crude fibre,Neutr.Det.Fibre (NDF),C4:0,C6:0,C8:0,C10:0,C12:0,C13:0,C14:0,C15:0,C16:0,C17:0,C18:0,C20:0,C21:0,C22:0,C23:0,C24:0,Andre mættede fedtsyrer,"C12:1,n-1","C14:1,n-5",C15:1,"C16:1,n-7","C17:1,n-7","C18:1,n-9","C18:1,n-7","C20:1,n-9","C20:1,n-11","C22:1,n-9","C22:1,n-11","C24:1,n-9",Andre monoumættede fedtsyrer,"C18:2,n-6","C18:2,conjugerede","C18:3,n-3 (ALA)","C18:3,n-6","C18:4,n-3","C20:2,n-6","C22:2,n-6","C22:4,n-6","C22:5,n-6","C20:3,n-3","C20:4,n-3","C20:3,n-6","C20:4,n-6","C20:5,n-3 (EPA)","C22:5,n-3","C22:6,n-3 (DHA)",Andre polyumættede,"C14:1,trans","C16:1,trans","C18:1,trans","C20:1,trans","C22:1,trans","C18:2,trans",Andre fedtsyrer,Sum mættede,Sum monoumættede,Sum polyumættede,"Transfedtsyrer, total","Fedtsyrer, total",Sum n-3 fedtsyrer,Sum n-6 fedtsyrer,Cholesterol,Isoleucin,Leucin,Lysin,Methionin,Cystin,Phenylalanin,Tyrosin,Threonin,Tryptofan,Valin,Arginin,Histidin,Alanin,Asparaginsyre,Glutaminsyre,Glycin,Prolin,Hydroxyprolin,Serin,Massefylde
460,Morgenprodukter,Müsli med tilsat sukker.,0,1558,370,5.83,2.058,12,12.9,70.6,61.8,60.9,3.5,8.8,6.3,0.67,0,2.1,91,9,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.59,iv,0.38,2.78,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,249,134,509,111,101,379,3.5,iv,2.32,0.91,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,3.48,iv,4.04,7.52,0,0.04,3.76,3.8,0,0,11.3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,4.221,iv,iv,iv,515,926,535,206,350,679,391,432,167,761,823,288,638,1070,2720,700,679,iv,700,iv
461,Morgenprodukter,Müsli uden tilsat sukker.,0,1558,370,5.83,2.058,12,12.9,70.6,61.8,60.9,iv,8.8,6.3,0.67,0,2.1,91,9,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.59,iv,0.38,2.78,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,249,134,509,111,101,379,3.5,iv,2.32,0.91,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,3.48,iv,4.04,7.52,0,0.04,3.76,3.8,0,0,11.3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,4.221,iv,iv,iv,515,926,535,206,350,679,391,432,167,761,823,288,638,1070,2720,700,679,iv,700,iv
462,Brød,"Bondebrød, industrifremstillet",0,950,225,5.83,1.11,6.5,6.9,49.3,44.4,44,0,4.9,1.3,0.897,0,1.8,58.8,41.2,0,0,0,0,0,iv,iv,iv,0.2,0.2,iv,iv,iv,iv,0.161,iv,0.0608,1.27,0.92,0.123,0.222,2.85,24.5,iv,0,0,0,iv,iv,177,516,165,18.6,26,100,1.01,0.121,0.933,22,0.728,4.49,1.98,iv,iv,3.1,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.16,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,39.6,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,iv,0,iv,0.19,iv,0.02,0,iv,0.002,iv,iv,iv,iv,iv,iv,0.006,iv,0.285,0.021,iv,0.012,iv,iv,iv,iv,0.498,iv,0.089,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0.211,0.324,0.587,0,1.122,0.089,0.498,0,iv,iv,iv,iv,iv,iv,iv,iv,76,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
464,Sydfrugt,"Lime, rå",16,155,37,6.25,0.112,0.7,0.7,10.5,7.7,7.7,0,2.8,0.2,0.53,0,0.3,11.7,88.3,0.5,0,6,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.03,iv,0.02,0.25,0.2,0.043,0.217,iv,8,iv,0,29.1,29.1,iv,iv,iv,2,102,33,6,18,0.6,0.065,0.11,iv,0.008,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,4.58,iv,iv,iv,4.58,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.5,iv,0,0,0,0,0,iv,0.001,iv,0.022,iv,0.001,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.003,iv,0.018,iv,iv,0,0,iv,iv,iv,0.04,iv,0.021,iv,0,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.024,0.021,0.061,iv,0.106,0.021,0.04,0,iv,iv,13,2,iv,iv,iv,iv,3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
465,Sydfrugt,"Paradisæble, råt",8,351,83,6.25,0.064,0.4,0.4,19.9,19.3,19.3,0,0.6,0.3,0.7,0,0.4,21.1,78.9,2,0,24,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.03,iv,0.02,0.167,0.1,iv,iv,iv,iv,iv,0,8,8,iv,iv,iv,1,194,18,7,15,0.36,0.067,iv,iv,0.115,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.6,iv,iv,iv,iv,iv,0.001,iv,0.001,iv,0.057,iv,0.009,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.001,iv,0.016,iv,iv,iv,iv,iv,iv,iv,0.104,iv,0.021,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.068,0.017,0.125,iv,0.21,0.021,0.104,0,16,25,25,4,5,11,8,14,4,19,13,6,14,70,42,16,14,iv,16,iv
467,Frugtsaft og juice,"Hyldebærsaft, sur, koncentreret",0,129,31,6.25,0.08,0.5,0.5,6,6,6,0,0,0.5,0.7,0,0.2,7.2,92.8,0,0,iv,0,0,iv,iv,iv,0,0,iv,iv,iv,iv,iv,iv,iv,0.2,iv,iv,iv,iv,iv,iv,0,8,8,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,4.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.026,iv,0.007,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.029,iv,iv,iv,iv,iv,iv,iv,0.157,iv,0.131,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.033,0.029,0.288,iv,0.35,0.131,0.157,0,21,46,20,10,11,30,38,21,12,25,36,11,22,44,73,27,19,iv,24,iv
468,Usyrnede mælkeprodukter,Fløde 13 % (UHT),0,607,147,6.38,0.439,2.8,2.7,4,4,3.7,0,0,13.3,0.945,0,0.6,20.7,79.3,118,113,59,0.18,0.18,iv,iv,iv,0.34,0.34,iv,iv,iv,0,0.036,iv,0.187,0.709,0.08,0.047,0.3,1.4,12,3,0.37,0.5,0.5,iv,iv,75,54.8,128,99,10,84,0.04,0.007,0.35,10.1,0.007,0.052,1.3,5,iv,0.179,iv,iv,iv,iv,iv,iv,0.1,1,iv,0.002,0.089,iv,iv,iv,iv,0.167,iv,iv,iv,0.167,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,3.74,0,0,3.74,iv,0,3.74,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,0.45,0.29,0.19,0.41,0.52,iv,1.471,iv,3.933,iv,1.341,iv,iv,iv,iv,iv,iv,iv,0.19,iv,0.29,iv,2.952,iv,iv,0.15,iv,iv,iv,iv,0.28,iv,0.1,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,8.606,3.582,0.38,iv,12.569,0.1,0.28,45,162,268,250,70,22,140,119,119,38,193,97,79,92,228,558,57,272,iv,158,iv
469,Bløddyr,"Frølår, dybfrost",35,293,69,6.25,2.624,16.4,16.4,0.2,0.2,0,0,0,0.3,0.7,0,1.1,18,82,0,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0.14,iv,0.25,3.9,1.2,1.2,iv,iv,iv,iv,iv,5,5,iv,iv,iv,55,310,18,23,147,1.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.21,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,162,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
470,Grøntsagsprodukter,"Peber, chili, konserves",0,112,26,6.25,0.144,0.9,0.9,6.1,4.9,4.9,0,1.2,0.1,0.7,0,0.4,7.5,92.5,596,0,7150,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.02,iv,0.05,0.999,0.8,0.153,0.034,iv,10,iv,0,68,68,iv,iv,iv,1170,187,7,14,17,0.5,0.101,0.17,iv,0.138,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.04,iv,iv,0.04,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.2,iv,iv,iv,iv,iv,0,iv,0.001,iv,0.008,iv,0.001,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0.005,iv,iv,iv,iv,iv,iv,iv,0.053,iv,0.002,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.01,0.005,0.055,iv,0.07,0.002,0.053,0,29,48,40,11,17,27,19,33,12,37,43,17,37,130,120,33,39,iv,36,iv
471,Fedtrig frugt og frø,"Sesamfrø, afskallede",0,2657,643,5.3,4.29,22.7,26.8,13.4,4.6,1.8,0,8.8,57.4,0.901,0,2.7,96.3,3.8,0,0,iv,0,0,0,0,0,iv,iv,22.9,iv,iv,iv,0.834,iv,0.116,11.6,4.6,0.351,0.353,17.6,115,iv,0,0,0,iv,iv,iv,26,469,36.5,347,640,5.75,1.6,5.75,iv,1.35,6,55.5,146,iv,88.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.65,iv,0.65,iv,iv,0.95,0.95,iv,iv,1.6,iv,iv,iv,iv,0.221,6.2,1.1,1.5,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,0,0,iv,0,5.27,iv,3.018,0.313,iv,iv,iv,iv,iv,0,0,0,iv,iv,20.915,0.459,iv,iv,0,0,0,iv,21.53,iv,0.162,0,0,iv,iv,0,0,0,iv,0,0,iv,iv,0,iv,0,0,0,0,0,iv,iv,8.602,21.374,21.692,0,51.667,0.162,21.53,0,942,1700,689,758,513,1160,939,920,421,1180,3310,639,1190,2170,5010,1290,890,0,1200,iv
472,Frugtprodukter,"Jordbærsaft, sur, koncentreret",0,146,35,6.25,0.08,0.5,0.5,7,7,7,0,0,0.5,0.8,0,0.2,8.2,91.8,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.304,0.2,iv,iv,iv,iv,iv,iv,9,9,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,5.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.041,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.069,iv,iv,iv,iv,iv,iv,iv,0.152,iv,0.138,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.041,0.069,0.29,iv,0.4,0.138,0.152,iv,18,30,26,8,3,17,8,17,6,22,30,9,23,73,68,19,18,iv,22,iv
473,Frugtprodukter,"Hindbærsaft, sur, koncentreret",0,146,35,6.25,0.08,0.5,0.5,7,7,7,0,0,0.5,0.8,0,0.2,8.2,91.8,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.392,0.3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,5.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.033,iv,0.006,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.038,iv,iv,iv,iv,iv,iv,iv,0.175,iv,0.148,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.038,0.038,0.323,iv,0.4,0.148,0.175,iv,iv,iv,iv,iv,iv,iv,iv,iv,6,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
474,Ferskvandsfisk,"Knude, rå",85,297,70,6.25,2.624,16.4,16.4,0,0,0,0,0,0.5,0.8,0,1.1,18,82,6,6,0,0.5,0.5,iv,iv,iv,0.85,0.85,iv,iv,iv,0,0.18,iv,0.14,2.4,1.5,iv,iv,iv,iv,iv,iv,0,0,iv,190,iv,75,270,38,21,190,0.4,0.02,0.53,40,0.04,7.1,20,5,0.5,10,50,0.3,500,0.1,10,400,8.6,0,iv,1.5,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,iv,0,0,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0.009,iv,0.191,iv,0.044,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.139,0,iv,0.017,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.117,iv,iv,iv,iv,iv,iv,iv,0.244,0.139,0.017,iv,0.4,0.017,0,60,iv,iv,iv,iv,iv,iv,iv,iv,54,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
475,Saltvandsfisk,"Kulmule, rå",0,292,69,6.25,2.64,16.3,16.3,0,0,0,0,0,0.4,0.7,0,1.3,18,82,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0.1,iv,0.2,iv,iv,iv,iv,iv,iv,iv,iv,0,0,iv,iv,iv,74,365,41,iv,142,1,iv,iv,iv,iv,1.05,25.3,iv,iv,3.97,iv,iv,iv,iv,iv,iv,6.27,77.4,iv,0.0133,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.28,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
476,Kager,"Flødeskumskage, jordbærkage",0,907,216,6.25,0.464,2.9,2.9,33,32.3,32.3,iv,0.7,8.2,0.945,0,0.6,44.7,55.3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,7.749,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
477,Dressings,"Dressing, mayonnaise, kalorielet",0,742,179,6.25,0.152,0.9,0.9,13.6,13.6,13.6,iv,0,13.4,0.956,0,2,29.9,70.1,3.3,3.3,iv,iv,iv,iv,iv,iv,1.95,1.95,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,723,66,17.3,5.4,iv,0.31,iv,0.24,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.3,iv,1.4,2.7,iv,0,9.4,9.4,0,iv,12.1,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.013,iv,1.413,iv,0.514,0.092,iv,0.044,iv,iv,iv,iv,iv,iv,0.029,iv,3.625,0.221,iv,0.093,0.111,iv,iv,iv,5.746,iv,0.893,iv,iv,iv,iv,iv,iv,0.016,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,2.077,4.079,6.654,iv,12.81,0.908,5.746,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
478,Likør,"Likør, Curacao",0,1243,297,6.25,0,0,0,25.5,25.5,26.9,26.9,0,0,0.8,27.9,1,54.4,45.6,0,0,0,0,0,iv,iv,iv,0,0,iv,iv,iv,0,0,iv,0,0,0,0,iv,iv,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.019,0.15,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.1,1.6,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,26.9,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
479,Blad- og stængelgrøntsager,"Salat, Iceberg, rå",10,65,16,6.25,0.128,0.8,0.8,3.5,2.4,2.4,0,1.1,0.1,0.7,0,0.4,4.7,95.3,12.5,0,150,0,0,iv,iv,iv,0.15,0.15,iv,iv,iv,112,0.044,0.044,0.0268,0.337,0.23,0.0396,0.068,1.4,89,iv,0,5.52,5.05,0.47,iv,iv,2.83,186,15.5,7.34,21.9,0.266,0.012,0.161,iv,0.081,iv,iv,iv,iv,0.34,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.51,0.061,iv,iv,iv,iv,iv,0.33,iv,iv,0.33,iv,iv,iv,iv,iv,iv,iv,iv,1.13,iv,1.02,2.15,iv,iv,iv,iv,iv,iv,2.15,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,0,iv,0,iv,0.012,iv,0.001,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.001,iv,0.003,iv,iv,0,0,iv,iv,iv,0.015,iv,0.038,iv,0,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.013,0.004,0.053,iv,0.07,0.038,0.015,0,60,56,60,11,11,40,23,42,6,50,50,15,40,101,129,41,35,iv,28,iv
480,Gryn,"Havregryn, ikke beriget",0,1541,366,5.83,2.276,13.3,14.2,68.3,58,57,0,10.3,6.7,0.94,0,2.3,90.5,9.5,0,0,0,0,0,iv,iv,iv,0.75,0.75,iv,iv,2.4,0,0.387,iv,0.128,3.07,0.8,0.132,1.5,19,47.2,iv,0,0,0,iv,iv,iv,4,400,53,117,411,3.76,iv,3,0.5,5.8,2.5,1.1,10,iv,121,iv,iv,iv,iv,iv,iv,0.2,4.5,iv,4.1,3.9,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,0,0,1.03,1.03,iv,0,1.03,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,6.29,iv,iv,0,569,1020,592,228,387,751,433,478,184,842,911,319,706,1180,3010,774,751,iv,774,iv
